text,label
:focus,unknown
:hover,unknown
!jesucristo,unknown
!playlist,unknown
!vscode,unknown
¡Hermoso!,positive
¡Suscríbete al canal y apoya mi contenido para que pueda seguir creándolo totalmente gratis!,unknown
?,unknown
¿Qué es eso de clamp?,unknown
@midudev :D,positive
@midudev +1 anotado <3,positive
@midudev <3,positive
@midudev <4,unknown
@midudev 20k,unknown
@midudev 360k,unknown
@midudev 43k,unknown
@midudev ah vale vale,unknown
@midudev Al parecer sí tiene un padding vertical,negative
@midudev ala esta bonito lo pondre en el de mi windows,positive
@midudev aun no pero en principio lo habrá,unknown
@midudev como el de midu Kappa,unknown
@midudev Cuantos tienes en midudev?,unknown
@midudev dea bancan o no bancan chat?},unknown
@midudev dea,unknown
@midudev deaaaaa,unknown
@midudev es la de los cracks,positive
@midudev es relativamente reciente,unknown
@midudev Está linda 😍,positive
@midudev Está usando NextJS con TailwindCSS,positive
@midudev F1 -> simple browser -> http://localhost:3000,unknown
@midudev gracias crack. Lo decí por molestar jaja <3,neutral
@midudev gracias,positive
@midudev hablaste con midu? va a ir a mty,unknown
@midudev haz esa encuesta!! jajaja,unknown
@midudev holaa Mr.Matias! <3,positive
@midudev iNotDev jajaja,unknown
@midudev jaajajajja,unknown
@midudev JAJAJAJA,unknown
@midudev jajajajaja,unknown
@midudev Jak sho cristal de rylai y listo,negative
@midudev jolin,neutral
@midudev Kappa,unknown
@midudev levanta la mano si necesitas ayuda,neutral
@midudev Lo malo es que no puedes abrir la consola del navegador :(,negative
@midudev LUL,unknown
@midudev me lo anoto no sabia de eso,positive
@midudev mi momento ha llegado CoolCat,unknown
@midudev No mires por favor,neutral
@midudev no tener problemas mentales es mejor,negative
@midudev okaoka,neutral
@midudev que es broma hahaha,unknown
@midudev que es eso?,negative
@midudev que trucazo eh 👀,positive
@midudev recien empezo a codear XD,unknown
@midudev resumen de lo avanzado?xD,unknown
@midudev sep,neutral
@midudev si es una función de css,unknown
@midudev te va molar hahaha,unknown
@midudev toda la lista de midu mola xD,positive
@midudev tu usas el Intellisense de Tailwind no? https://marketplace.visualstudio.com/items?itemName=bradlc.vscode-tailwindcss,unknown
@midudev ty boi,positive
@midudev WutFace,negative
@midudev xd  yo lo busque por todos lados :D,neutral
@midudev,neutral
*quack*,unknown
+12 puntos creo @ManzDev,unknown
+18 en el título,negative
<3,neutral
0,negative
1,negative
10,positive
2,negative
3,negative
36px al principio,unknown
4,negative
5,neutral
6,neutral
7 raiders from have joined,unknown
7,neutral
8,positive
9,positive
a listo luego off stream los acomodo,neutral
a mi me encanta,positive
a mí me gusta más personalmente,positive
a mi me gusta mucho el tema de que los mods hagan las encuestas sin que el streamer lo sepa,unknown
a pos si,neutral
a y 50,unknown
Aah valeee,neutral
abre en el vscode el browser para no cambiar entre pestañas :DD,unknown
aburrido,negative
acabo de descubrir este canal y me encantó,positive
acabo de descubrir tu canal y no se porque pero me encanto,unknown
Ah ya muchas gracias :),positive
ahh espera que no esta programando solo hizo el amago,unknown
ahh vale vale entonces ahora ya tiene todo sentido,positive
ahora me da miedo ponerte links,unknown
AJJAJAJAAJ,unknown
ajusta a ver si cambia,unknown
al  texto ponle class uppercase,unknown
ALA QUE GUAPO,positive
algo apagado,negative
alta pagina,positive
alto proyecto,positive
añadir un nombre a una varible,neutral
anda mal,negative
Apenas llego sorry mostraste o tienes regalos de fans?,unknown
Apoco estuvo midudev en los nextjsconf?,unknown
aprovechar antes de que lo cambie,neutral
aproximadamente bien,positive
Aquí hay un cheatsheet de referencia muy bueno de Tailwind que vimos hoy. https://tailwindcomponents.com/cheatsheet/,unknown
asi es cuando estas animado/a jeje,positive
asombroso,positive
asquerosardo,negative
ban al del height?¿ xd,unknown
BAN,unknown
bien logrado,positive
bien mal,negative
boxearias en la velada del año?,unknown
Breakpoint TailwindCSS -> https://tailwindcss.com/docs/screens,unknown
buen enfoque,positive
buen progreso,positive
buena idea,positive
BUENAS akusmon,positive
BUENAS alervgr,positive
BUENAS altaskur,positive
Buenas buenas de que me perdi?,neutral
BUENAS lucas_barraud,positive
buenas matias,positive
BUENAS midudev,positive
Buenas noches de qué va el stream?,positive
buenas noches,positive
buenas tardes gente,unknown
buenas,positive
Buenas,positive
buenass,positive
buenisimo,positive
Buenísimo,positive
bueno,positive
buscala en directo midu no la conocemos,unknown
buscas lo que quieres hacer en CSS y te indica las clases de tailwind,unknown
calamardo,negative
camalardo,negative
casi,unknown
che midu,unknown
chicos dea o ndhea?,unknown
Claro necesitas un clamp para acomodar el maximo y el mínimo,neutral
codigo facil de mantener,positive
como lo tenes en javascript?,unknown
como obtengo el descuento?,unknown
complejidad,negative
Con el gap que quitaste estaría bien,neutral
con playwright,unknown
con sueño PoroSad <3,positive
contratado,positive
Copian a los grandes,negative
Creo que es de la tipografía,neutral
creo que estoy en una realidad alterna,unknown
creo que ni has empezado,unknown
cuál era ese hosting de MySQL? tremendo,unknown
Cuantos clicks madre en intellij sale así en un botón flotante que te deja elegir navegador,unknown
customhamburger,unknown
Dale el padding a la derecha,unknown
DansGame,negative
de cierto modo se ve mal,negative
